tweets,label,preprocess_tweets
"RT @raymach1: @David_Cameron according to you everything in the World will suffer if we #LeaveEU , very desperate argument #callmedave",leave,rt : according to you everything in the world will suffer if we <hashtag> very desperate argument <hashtag>
RT @EU_Mainstream: Yet more evidence that #Brexit will have negative economic impact. Britain's economy is #StrongerIn  https://t.co/UWlnsa…,stay,rt : yet more evidence that <hashtag> will have negative economic impact britain's economy is <hashtag> <url> …
"The issue in Wales is now one of *perception*. Labour paint Plaid as working w. UKIP/Tories to gain power, Plaid protest this, but what now?",leave,the issue in wales is now one of * perception * labour paint plaid as working w ukip / tories to gain power plaid protest this but what now
RT @nickeardleybbc: Two UKIP members of the Welsh Assembly now say they'll back Labour's choice for first minister https://t.co/otcUlAHRak,leave,rt : two ukip members of the welsh assembly now say they'll back labour's choice for first minister <url>
Thing people are forgetting about the debate is that @Nigel_Farage will have facts on his side rather than spin. Cameron will lose. #UKIP,leave,thing people are forgetting about the debate is that will have facts on his side rather than spin cameron will lose <hashtag>
"RT @betteroutofEU: ""Brexit would boost Britain’s global influence"" #VoteLeave #LeaveEU #brexit #TakeControl https://t.co/fSKfJpTVuD",leave,"rt : "" brexit would boost britain ’ s global influence "" <hashtag> <hashtag> <hashtag> <hashtag> <url>"
Come along and support the #VoteLeave stall at #Eastleigh market on Saturday 14th May 9am-12,leave,come along and support the <hashtag> stall at <hashtag> market on saturday <number> th may <number> am <number>
RT @UKIP: Will you be watching? https://t.co/2iK88EZIcJ,leave,rt : will you be watching <url>
RT @MitchellGoldie: Follow @brexitbattlebus for constant updates from the Vote Leave Battle Bus! #VoteLeave #TakeControl,leave,rt : follow for constant updates from the vote leave battle bus <hashtag> <hashtag>
"RT @theordinaryman2: the #EU are stealing our Fish

 #WeWantOurFishBack

#EUreferendum #LeaveEU #StrongerIn #Brexit #VoteLeave https://t.co…",stay,rt : the <hashtag> are stealing our fish <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <url> …
RT @NewEuropeans: Deadline for #UKexpats to #Register to #Vote  in #EUReferendum is 16 May (next Monday). https://t.co/w2uZc1lRpS https://t…,leave,rt : deadline for <hashtag> to <hashtag> to <hashtag> in <hashtag> is <number> may next monday <url> <url> …
"RT @theordinaryman2: Just think of all the jobs &amp; prosperity that will be created in Fishing Industry if UK #LeaveEU

 #WeWantOurFishBack h…",leave,rt : just think of all the jobs amp ; prosperity that will be created in fishing industry if uk <hashtag> <hashtag> h …
*Press Release* #EUReferendum #Referendum #InOrOut @BorisJohnson @Nigel_Farage @BBCNews @StrongerInPress @Telegraph https://t.co/bRqSOhILnU,stay,* press release * <hashtag> <hashtag> <hashtag> <url>
RT @UKIPolizer: PICTURES: Farage Hailed A Hero On ‘#BrexitTheMovie’ Red Carpet #YouTube https://t.co/yQfqCqd1mR https://t.co/hHXlQ7CyOU,leave,rt : pictures : farage hailed a hero on ‘ <hashtag> red carpet <hashtag> <url> <url>
"RT @theordinaryman2: the #EU are stealing our Fish

 #WeWantOurFishBack

#EUreferendum #LeaveEU #StrongerIn #Brexit #VoteLeave https://t.co…",stay,rt : the <hashtag> are stealing our fish <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <url> …
RT @EUVoteLeave23rd: WATCH: #MichaelHoward explains why we should #leave #EU in the time it takes to down a pint https://t.co/LqZnFH8p4J #B…,leave,rt : watch : <hashtag> explains why we should <hashtag> <hashtag> in the time it takes to down a pint <url> <hashtag>
"RT @theordinaryman2: Re-tweet if you are voting to #LeaveEU

#EUreferendum #VoteLeave #BelieveinBritain #BetterOffOUT #ILoveBritain https:/…",leave,rt : re-tweet if you are voting to <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> https : / …
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,leave,rt : absolutely right <elong> has place on <hashtag> tv shame is frit doing it head to head https : …
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",leave,rt : read : true eu immigration figure <number> a year higher than first thought <url>
"The message is clear - Brexit vote may spark recession, Mark Carney warns. We're #StrongerIn. #EUref https://t.co/G7Uz0VCg6d",stay,the message is clear - brexit vote may spark recession mark carney warns we're <hashtag> <hashtag> <url>
@BBCNews #Brexit @vote_leave @LeaveEUOfficial @GetBritainOut,leave,<hashtag>
"RT @britinfluence: White House adviser: Brexit would hurt Britain, EU and global economy @CEAChair #EUref #UKinEU #StrongerIn #Bremain
http…",stay,rt : white house adviser : brexit would hurt britain eu and global economy <hashtag> <hashtag> <hashtag> <hashtag> http …
https://t.co/9F72e6GzwJ VoteLeave @oflynnmep  @Stewart4Pboro https://t.co/GA9lectH4g,leave,<url> voteleave <url>
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",leave,rt : read : true eu immigration figure <number> a year higher than first thought <url>
"RT @darryl1974: 8.7% of Britain First's 2nd choices plus 7.1% of BNP's went to Sadiq Khan, but only 6.3% of Ukip votes went his way https:/…",leave,rt : <number> of britain first's <number> nd choices plus <number> of bnp's went to sadiq khan but only <number> of ukip votes went his way https : / …
"RT @LSEnews: Explore our #LSEBrexitVote video series, covering all sides of the debate on #EUReferendum https://t.co/ONFWVlkLDI https://t.c…",leave,rt : explore our <hashtag> video series covering all sides of the debate on <hashtag> <url> <url> …
@UKIP I've watched Nigel at the European Parliament  - he should wipe the floor with Cameron.,leave,i've watched nigel at the european parliament - he should wipe the floor with cameron
RT @labourleave: Media are covering Tory and Labour Pro EU view and Tory and UKIP anti EU view. Why not include the Labour Anti EU view to?,leave,rt : media are covering tory and labour pro eu view and tory and ukip anti eu view why not include the labour anti eu view to
RT @vote_leave: .@BorisJohnson getting down to business in Christchurch on the #VoteLeave #BattleBus tour https://t.co/bUkycSJTMM,leave,rt : getting down to business in christchurch on the <hashtag> <hashtag> tour <url>
RT @UKIP: Read @Steven_Woolfe: Europol's actions prove the threat of terrorism via the Balkan Migrant route https://t.co/klvtpwz0oH,leave,rt : read : europol's actions prove the threat of terrorism via the balkan migrant route <url>
"White House adviser: Brexit would hurt Britain, EU and global economy @CEAChair #EUref #UKinEU #StrongerIn #Bremain
https://t.co/puiq6WpK2V",stay,white house adviser : brexit would hurt britain eu and global economy <hashtag> <hashtag> <hashtag> <hashtag> <url>
"RT @RedHotSquirrel: 43 days to enthuse the unenthused, enlighten the misinformed, win over waverers and reclaim our country. #VoteLeave htt…",leave,rt : <number> days to enthuse the unenthused enlighten the misinformed win over waverers and reclaim our country <hashtag> htt …
It will be faster to come home #VoteLeave &gt;&gt; Business travellers fear Brexit due to delays at passport control https://t.co/yGsefk36hm,leave,it will be faster to come home <hashtag> gt ; gt ; business travellers fear brexit due to delays at passport control <url>
RT @dair_allan: @welshpolitical seems everything is sorted and Labour cut a grubby backroom deal with UKIP. Labour - the #shame of Wales.,leave,rt : seems everything is sorted and labour cut a grubby backroom deal with ukip labour - the <hashtag> of wales
RT @JonathanPlaid: Labour to deal with UKIP -pure hypocrites. Looking forward to seeing their Welsh based MPs vent their disgust,leave,rt : labour to deal with ukip - pure hypocrites looking forward to seeing their welsh based mps vent their disgust
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",leave,rt : read : true eu immigration figure <number> a year higher than first thought <url>
"RT @theordinaryman2: Re-tweet if you are voting to #LeaveEU

#EUreferendum #VoteLeave #BelieveinBritain #BetterOffOUT #ILoveBritain https:/…",leave,rt : re-tweet if you are voting to <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> https : / …
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,leave,rt : absolutely right <elong> has place on <hashtag> tv shame is frit doing it head to head https : …
RT @UKIP_PBO: UKIP have been fighting long and hard for Brexit. Now the rest of Peterborough is joining us. No matter what your... https://…,leave,rt : ukip have been fighting long and hard for brexit now the rest of peterborough is joining us no matter what your https : / / …
"""Neither Holy, nor Roman, nor an Empire"" - so blueprint for the EU? #EUreferendum https://t.co/nJ7f4U4t7u https://t.co/ODoQNZvtdv",leave,""" neither holy nor roman nor an empire "" - so blueprint for the eu <hashtag> <url> <url>"
"RT @simplysimontfa: 4 more good reasons to #VoteLeave - Blair, Brown, Cameron and Major: four Prime Ministers who led us into economic disa…",leave,rt : <number> more good reasons to <hashtag> - blair brown cameron and major : four prime ministers who led us into economic disa …
RT @LBRuT_Help: EU Referendum Key Dates https://t.co/0JZtJorW4G #EUreferendum https://t.co/0iZwx14EY0,leave,rt : eu referendum key dates <url> <hashtag> <url>
2/2 I'm starting to think instead that people in high places stand to lose an awful lot of cash #VoteLeave #Nottheendoftheworld,leave,<number> / <number> i'm starting to think instead that people in high places stand to lose an awful lot of cash <hashtag> <hashtag>
RT @UKIP: Read: UKIP Leader @Nigel_Farage's weekly referendum diary every Wednesday in the @Daily_Express https://t.co/hfLgOMvhdk,leave,rt : rea <smile> ukip leader ' s weekly referendum diary every wednesday in the <url>
"@HelenP3617 but yes, that was also my thought - not that would be a deal, but that UKIP flip would tar Labour also - until recent briefings.",leave,but yes that was also my thought - not that would be a deal but that ukip flip would tar labour also - until recent briefings
@SHill150 @ITV @vote_leave I am assuming you mean in the Brexit camp. The problem: Mr Farage's views are associated by some with racism.,leave,i am assuming you mean in the brexit camp the problem : mr farage's views are associated by some with racism
"‘President Trump’ is scarier for markets than a Brexit, says star fund manager https://t.co/QvJsfxBhkp #VoteLeave",leave,‘ president trump ’ is scarier for markets than a brexit says star fund manager <url> <hashtag>
"RT @Stevie_Leary: After all the usual @theSNP hype &amp; rhetoric, it's their voters leading the way for #Brexit in Scotland. #LeaveEU https://…",leave,rt : after all the usual hype amp ; rhetoric it's their voters leading the way for <hashtag> in scotland <hashtag> https : / / …
@Far_Right_Watch @erswell_tim I'm not a paid employee of UKIP you utter fool.,leave,i'm not a paid employee of ukip you utter fool
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,leave,rt : absolutely right <elong> has place on <hashtag> tv shame is frit doing it head to head https : …
RT @subtel1: Stop any further destruction of our manufacturing industries NOW. #VoteLeave #Brexit #EUref Sack Vatman &amp; Knobend https://t.co…,leave,rt : stop any further destruction of our manufacturing industries now <hashtag> <hashtag> <hashtag> sack vatman amp ; knobend <url> …
RT @smiffymaid: There wouldn't of been a referendum if not for #Farage #UKIP's determination. Both have same goal #Brexit #LeaveEU https://…,leave,rt : there wouldn't of been a referendum if not for <hashtag> <hashtag> determination both have same goal <hashtag> <hashtag> https : / / …
RT @MitchellGoldie: My article for @vote_leave in my local newspaper #VoteLeave https://t.co/YV7tnU7nT2,leave,rt : my article for in my local newspaper <hashtag> <url>
What's the most important thing for you to know the #InsAndOuts of in the #EUReferendum?,leave,what's the most important thing for you to know the <hashtag> of in the <hashtag>
Green Party Agriculture Spokesperson from the South West on yesterday's EU migration report #EUreferendum #GreenerIN https://t.co/Gc23ilZbfV,leave,green party agriculture spokesperson from the south west on yesterday's eu migration report <hashtag> <hashtag> <url>
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,leave,rt : absolutely right <elong> has place on <hashtag> tv shame is frit doing it head to head https : …
@HelenP3617 except they've no need to: &amp; as soon as that balloon went up UKIP AMs brought it down by saying no talks. Same spin won't stick.,leave,except they've no need to : amp ; as soon as that balloon went up ukip ams brought it down by saying no talks same spin won't stick
I'll be toasting with Scotch not Champagne on 24/6 to keep £ in UK #VoteLeave &gt; Brexit 'risks Scotch whisky exports' https://t.co/7FcecZyKeQ,leave,i'll be toasting with scotch not champagne on <number> / <number> to keep in uk <hashtag> gt ; brexit ' risks scotch whisky exports ' <url>
@oop100 @iVoteLeave I steer clear of people who warn of 'serious consequences'. They can't trust the Father of Brexit to make their case?!,leave,i steer clear of people who warn of ' serious consequences ' they can't trust the father of brexit to make their case
"RT @jonnohopkins: Pranking UKIP's David Coburn during a Periscope broadcast by telling him his mic's not on. Highlight of the week.
https:/…",leave,rt : pranking ukip's david coburn during a periscope broadcast by telling him his mic's not on highlight of the week https : / …
Farage’s “big night” should worry the Ukip People’s Army – UK in a changing Europe https://t.co/OK99gBOkX5,leave,farage ’ s “ big night ” should worry the ukip people ’ s army – uk in a changing europe <url>
@Amathyst25 erm... NIESR says there will be an economic shock too. And economy will be 1.5pc to 7.8pc smaller if Brexit! #VoteRemain,stay,erm niesr says there will be an economic shock too and economy will be <number> pc to <number> <lolface> c smaller if brexit <hashtag>
@Vaughan_Wms @wimthetim  For Welsh Labour replace Tory with UKIP! https://t.co/yHrFdLMBjI,leave,for welsh labour replace tory with ukip <url>
RT @UKIP: Will you be watching? https://t.co/2iK88EZIcJ,leave,rt : will you be watching <url>
RT @dmck52: Received governments Pro EU propaganda booklet today. Vote #LeaveEU https://t.co/kgi5H9gwUh,leave,rt : received governments pro eu propaganda booklet today vote <hashtag> <url>
Today we held the voting for our mock #EUreferendum It was brilliant to see so many pupils of all ages voting. https://t.co/UMYVf4gwI6,leave,today we held the voting for our mock <hashtag> it was brilliant to see so many pupils of all ages voting <url>
